alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.125000,100.000000,-0.010000,nan,0.000000,5.000000
-1.125000,50.000000,0.020000,-0.982460,0.000000,1.000000
-1.125000,50.000000,0.040000,-1.174100,0.000000,1.000000
-1.125000,50.000000,0.060000,-1.335436,0.000000,1.000000
-1.125000,50.000000,0.010000,-0.859849,0.000000,1.000000
-1.125000,50.000000,0.030000,-1.085088,0.000000,1.000000
-0.875000,10.000000,-0.070000,nan,0.000000,5.000000
-1.125000,50.000000,0.070000,-1.402604,0.000000,1.000000
-1.125000,50.000000,0.090000,-1.534529,0.000000,1.000000
-0.875000,25.000000,-0.080000,nan,0.000000,5.000000
-1.125000,50.000000,0.100000,-1.595909,0.000000,1.000000
-0.875000,25.000000,-0.090000,nan,0.000000,5.000000
-1.125000,50.000000,0.080000,-1.472100,0.000000,1.000000
-0.875000,25.000000,-0.100000,nan,0.000000,5.000000
-0.875000,25.000000,-0.070000,nan,0.000000,5.000000
-1.125000,50.000000,0.000000,-0.710810,0.000000,1.000000
-0.875000,25.000000,-0.040000,nan,0.000000,5.000000
-0.875000,25.000000,-0.050000,nan,0.000000,5.000000
-1.125000,50.000000,0.050000,-1.259273,0.000000,1.000000
-0.875000,25.000000,-0.030000,nan,0.000000,5.000000
-0.875000,25.000000,-0.060000,nan,0.000000,5.000000
-0.875000,50.000000,-0.080000,nan,0.000000,5.000000
-0.875000,50.000000,-0.090000,nan,0.000000,5.000000
-0.875000,50.000000,-0.100000,nan,0.000000,5.000000
-0.875000,50.000000,-0.060000,nan,0.000000,5.000000
-0.875000,50.000000,-0.050000,nan,0.000000,5.000000
-0.875000,50.000000,-0.070000,nan,0.000000,5.000000
-0.875000,50.000000,-0.040000,nan,0.000000,5.000000
-0.875000,50.000000,-0.030000,nan,0.000000,5.000000
-0.875000,10.000000,-0.040000,-0.506801,0.000000,1.000000
-0.875000,10.000000,-0.050000,-0.407281,0.000000,1.000000
-0.875000,50.000000,-0.020000,nan,0.000000,5.000000
-0.875000,10.000000,-0.060000,-0.279191,0.000000,1.000000
-0.875000,10.000000,0.030000,-0.841225,0.000000,1.000000
-0.875000,10.000000,-0.030000,-0.588916,0.000000,1.000000
-0.875000,10.000000,0.010000,-0.799962,0.000000,1.000000
-1.125000,100.000000,0.020000,-1.179875,0.000000,1.000000
-0.875000,10.000000,0.060000,-0.894262,0.000000,1.000000
-0.875000,10.000000,-0.010000,-0.723429,0.000000,1.000000
